Newick_label  ,Isolation Source,Isolation type,SNP cluster
SRR10505985,sponge,environmental,PDS000000366.382
SRR10506001,sponge,environmental,PDS000000366.382
SRR10506026,sponge,environmental,PDS000000366.382
SRR10590774,sponge,environmental,PDS000000366.382
SRR10590811,sponge,environmental,PDS000000366.382
SRR10590776,sponge,environmental,PDS000000366.382
SRR10333960,sponge,environmental,NoOutbreak
SRR10505975,sponge,environmental,NoOutbreak
SRR10505980,sponge,environmental,NoOutbreak
SRR10505989,sponge,environmental,NoOutbreak
SRR10505991,sponge,environmental,NoOutbreak
SRR10505993,sponge,environmental,NoOutbreak
SRR10505994,sponge,environmental,NoOutbreak
SRR10505995,sponge,environmental,NoOutbreak
SRR10505998,sponge,environmental,NoOutbreak
SRR10506018,sponge,environmental,NoOutbreak
SRR10590823,sponge,environmental,NoOutbreak
SRR10591122,sponge,environmental,NoOutbreak
SRR11892190,Raw Milk Cheese,environmental,NoOutbreak
SRR11892334,Raw Cow Milk,environmental,NoOutbreak
SRR11892356,Raw Milk Cheese,environmental,NoOutbreak
SRR12125022,Raw Milk Cheese,environmental,NoOutbreak
SRR12125023,Raw Milk Cheese,environmental,NoOutbreak
SRR12125094,Raw Milk Cheese,environmental,NoOutbreak
SRR12125095,Raw Milk Cheese,environmental,NoOutbreak
SRR12125804,Raw Milk Cheese,environmental,NoOutbreak
SRR10505996,Sandwich Spread,environmental,PDS000024555.2
SRR10505999,sponge,environmental,PDS000024555.2
SRR10506000,sponge,environmental,PDS000024555.2
SRR10506002,sponge,environmental,PDS000024555.2
SRR10506017,sponge,environmental,PDS000024555.2
SRR10506024,sponge,environmental,PDS000024555.2
SRR10505997,sponge,environmental,PDS000053729.2
SRR10590772,sponge,environmental,PDS000053729.2
SRR10590880,sponge,environmental,PDS000038837.3
SRR11080119,Raw Cow Milk,environmental,PDS000056622.1
SRR11080122,Raw Cow Milk,environmental,PDS000056622.1
SRR10293901,fish,environmental,PDS000052124.1
SRR10293902,fish,environmental,PDS000052124.1
SRR10293903,fish,environmental,PDS000052124.1
SRR10293904,fish,environmental,PDS000052124.1
SRR10293905,fish,environmental,PDS000052124.1
SRR10293906,fish,environmental,PDS000052124.1
SRR10294012,fish,environmental,PDS000052124.1
SRR10436020,sponge,environmental,PDS000047913.2
SRR10333961,sponge,environmental,PDS000054164.2
SRR10590777,sponge,environmental,PDS000054164.2
SRR10590881,sponge,environmental,PDS000054164.2
SRR10591123,sponge,environmental,PDS000054164.2
SRR10688427,sponge,environmental,PDS000054164.2
SRR11080120,swab,environmental,PDS000056623.2
SRR11080121,swab,environmental,PDS000056623.2
SRR10804323,Raw Milk Cheese,environmental,PDS000025543.3
SRR10804324,Raw Milk Cheese,environmental,PDS000025543.3
SRR12125021,Raw Milk Cheese,environmental,PDS000065066.1
SRR12125096,Raw Milk Cheese,environmental,PDS000065066.1
